"Pop","Days","Flowers"
"ONRO",123,0
"ONRO",124,0
"ONRO",125,0
"NYSC",0,0
"NYSC",1,0.615384615384615
"NYSC",2,1.23076923076923
"NYSC",3,1.84615384615385
"NYSC",4,2.46153846153846
"NYSC",5,3.07692307692308
"NYSC",6,3.69230769230769
"NYSC",7,4.30769230769231
"NYSC",8,4.92307692307692
"NYSC",9,5.53846153846154
"NYSC",10,6.15384615384615
"NYSC",11,6.76923076923077
"NYSC",12,7.38461538461539
"NYSC",13,8
"NYSC",14,6.4
"NYSC",15,4.8
"NYSC",16,3.2
"NYSC",17,1.6
"NYSC",18,0
"NYSC",19,175.8
"NYSC",20,351.6
"NYSC",21,527.4
"NYSC",22,703.2
"NYSC",23,879
"NYSC",24,734.2
"NYSC",25,589.4
"NYSC",26,444.6
"NYSC",27,299.8
"NYSC",28,155
"NYSC",29,221.8
"NYSC",30,288.6
"NYSC",31,355.4
"NYSC",32,422.2
"NYSC",33,489
"NYSC",34,488.4
"NYSC",35,487.8
"NYSC",36,487.2
"NYSC",37,486.6
"NYSC",38,486
"NYSC",39,388.8
"NYSC",40,291.6
"NYSC",41,194.4
"NYSC",42,97.2
"NYSC",43,0
"NYSC",44,47.8
"NYSC",45,95.6
"NYSC",46,143.4
"NYSC",47,191.2
"NYSC",48,239
"NYSC",49,251
"NYSC",50,263
"NYSC",51,275
"NYSC",52,287
"NYSC",53,299
"NYSC",54,245.6
"NYSC",55,192.2
"NYSC",56,138.8
"NYSC",57,85.4
"NYSC",58,32
"NYSC",59,25.6
"NYSC",60,19.2
"NYSC",61,12.8
"NYSC",62,6.4
"NYSC",63,0
"NYSC",64,0
"NYSC",65,0
"NYSC",66,0
"NYSC",67,0
"NYSC",68,0
"NYSC",69,0
"NYSC",70,0
"NYSC",71,0
"NYSC",72,0
"NYSC",73,0
"NYSC",74,0
"NYSC",75,0
"NYSC",76,0
"NYSC",77,0
"NYSC",78,0
"NYSC",79,0
"NYSC",80,0
"NYSC",81,0
"NYSC",82,0
"NYSC",83,0
"NYSC",84,0
"NYSC",85,0
"NYSC",86,0
"NYSC",87,0
"NYSC",88,0
"NYSC",89,0
"NYSC",90,0
"NYSC",91,0
"NYSC",92,0
"NYSC",93,0
"NYSC",94,0
"NYSC",95,0
"NYSC",96,0
"NYSC",97,0
"NYSC",98,0
"NYSC",99,0
"NYSC",100,0
"NYSC",101,0
"NYSC",102,0
"NYSC",103,0
"NYSC",104,0
"NYSC",105,0
"NYSC",106,0
"NYSC",107,0
"NYSC",108,0
"NYSC",109,0
"NYSC",110,0
"NYSC",111,0
"NYSC",112,0
"NYSC",113,0
"NYSC",114,0
"NYSC",115,0
"NYSC",116,0
"NYSC",117,0
"NYSC",118,0
"NYSC",119,0
"NYSC",120,0
"NYSC",121,0
"NYSC",122,0
"NYSC",123,0
"NYSC",124,0
"NYSC",125,0
"NYLV",0,0
"NYLV",1,0.615384615384615
"NYLV",2,1.23076923076923
"NYLV",3,1.84615384615385
