"","Num","Fam","Pop","Lat","Start","Duration","KurtosisSTD","SkewnessSTD","VarianceSTD","MeanFDSTD","KurtosisRD","SkewnessRD","VarianceRD","MeanFDRD"
"1",1,"B2","ONEC",47.6908056,8,30,1.23769441688142,-1.08063922734707,9.27868085200013,23.6779661016949,17725.1154740546,-177.427366785936,52.5425088671689,16.4411764705882
"2",2,"F16","ONRO",45.2627778,23,26,1.0513887411116,-1.01894399834116,23.6817488882124,40.1750663129974,100326.848991692,-543.453218651639,79.4893232590245,35.9074074074074
"3",3,"L3","NYSC",42.5230556,22,49,1.03879969073617,-1.01396620750944,33.4263964445527,53.7372353673724,57219414.6128894,55329.7604855473,574.987888453082,219.116438356164
"4",4,"J9","NYLV",43.6971944,21,40,1.05171347022186,-1.01876318369492,29.5280016936248,47.2354062425542,123852705.352381,19513.141560545,816.271484409615,338.241935483871
"5",5,"H3","ONDM",44.4933889,13,41,1.08020142639284,-1.02985181446432,24.3536524486062,39.6016275198816,341548122.842186,29163.5869140193,1129.42048768675,457.28813559322
"6",8,"A13","ONTI",48.4789167,11,50,1.06707493778001,-1.0252951722135,26.786444872914,40.2114825581395,10952849.6129204,24241.6884161483,243.213498844641,82.9527027027027
"7",9,"T15","MDDB",38.7526111,43,34,1.0228834776885,-1.00840777154331,38.664714849429,58.0124069478908,212653322.894483,-23289.990757526,936.526129002948,421.406779661017
"8",10,"J6","NYLV",43.6971944,28,44,1.18617003771818,-1.07097579338422,32.7809478860859,56.663688058489,84383.393218283,1087.44773165247,28.418406770115,14.8194444444444
"9",13,"H20","ONDM",44.4933889,13,47,1.08106437313614,-1.03095189579402,26.6029220163629,41.0403776617115,169044.192531409,-438.113390806809,89.6442057680928,39.7962962962963
"10",14,"T2","MDDB",38.7526111,41,27,1.26838978504566,-1.10046532758116,27.1350483093229,54.0150753768844,67428621.0211265,31194.7216267791,625.743474006487,249.790322580645
"11",15,"T20","MDDB",38.7526111,51,27,1.08415655357521,-1.03018781623526,29.4393160153307,59.3333333333333,148831254.419969,163429.056779631,722.213845142108,202.725
"12",16,"A8","ONTI",48.4789167,8,53,1.00918794000205,-1.003395701357,20.3229242662907,29.056,5830998.65682903,-17697.3107439474,323.617903586411,154.418181818182
"13",18,"I16","ONWH",45.49,13,48,1.07767218249062,-1.02894875372893,23.285412457245,36.6902050113895,621213.10069273,214.871500062173,140.106119906042,56.9298245614035
"14",19,"L1","NYSC",42.5230556,21,40,1.06925870799567,-1.02549174551607,27.7259360691584,46.1655306718598,-2,-2,-334.085343127253,0.743589743589744
"15",20,"P17","NJHP",41.3128333,34,44,1.07743660299626,-1.02673875686607,31.2412838427105,58.5150862068966,-2,-2,-36.9616220424095,5.21296296296296
"16",21,"A19","ONTI",48.4789167,14,39,1.03683424353468,-1.01364651090812,23.9554036923776,35.2250879249707,10161318.8059261,18644.319898642,346.247521074166,109.91935483871
