"Pop","Latitude","TotFlwr","Start","End","Duration","Peak","Var","Skew","Kurt"
"ONEC","47.6908056","339.608695652174","12","46.25","36.1666666666667","25.4530266238148","354.606616180723","-1.03711592610905","1.1051379709056"
"ONRO","45.2627778","743.740740740741","21.037037037037","55.2083333333333","33.625","34.4403681814525","607.562825064542","-1.21551405330696","2.05080463119256"
"NYSC","42.5230556","1715.875","25.4166666666667","67.7916666666667","42.375","49.6263224426422","1336.93465944833","-1.0560489785003","1.15695786612234"
"NYLV","43.6971944","3078.17647058824","23.5882352941176","68.1470588235294","44.5588235294118","49.6199721480766","1483.97300634243","-1.0333918709617","1.09097508798511"
"ONDM","44.4933889","2311.73684210526","14.5526315789474","58.6944444444444","43.8055555555556","38.5822791227546","988.763864394868","-1.02091265885167","1.05595161490193"
"ONTI","48.4789167","1136.625","12.8125","57.8076923076923","44.7692307692308","36.0312039091138","885.485300797041","-1.01763059520572","1.04711673222401"
"MDDB","38.7526111","1090.12","32.96","73.0476190476191","41.5238095238095","54.1557885903176","1698.39395355468","-1.07626953913561","1.23609412257105"
"ONWH","45.49","260.458333333333","16.8333333333333","54.1052631578947","36.9473684210526","31.6363743093643","676.402948402662","-1.094224116157","1.32182295043799"
"NJHP","41.3128333","1970.71428571429","29.3714285714286","72.969696969697","43.6969696969697","54.0771168053857","1692.1848097166","-1.04807151163861","1.13135526048961"
"ONNO","45.4319444","570.285714285714","13.6785714285714","50.1666666666667","36.7916666666667","29.9911290991241","618.162334118565","-1.01785884578047","1.04837397100416"
"NYCH","42.2382222","4154.79411764706","19.9411764705882","65.6470588235294","45.7058823529412","44.9794279452914","1277.52583556589","-1.05688971763843","1.17909006783602"
"ONPG","44.5948889","2008.86486486486","14.4324324324324","58.3939393939394","44.0606060606061","37.2515280389344","893.661624896596","-1.04569784749712","1.12924216275418"
"NJPT","40.34025","977.4","41.52","78.0909090909091","38.7272727272727","63.4801371570424","2229.01037184383","-1.0671951063606","1.18776721964258"
