Num,Row,Fam,Pop,Lat,Start,End,Duration,Veg,PC1,HinfW,TotFlwr,d0,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60
232,2e,H1,ONDM,44.4933889,11,61,50,121,-0.3673763,45.08,3597,1,31,162,244,888,750,0,842,593,86,0,0,0
233,2e,M4,NYCH,42.2382222,13,63,50,128,-0.0441193,72,9724,5,31,205,694,769,1213,1902,2479,922,1504,0,0,0
234,2e,A2,ONTI,48.4789167,17,61,44,103,-0.5358005,11.39,1322,8,48,103,247,291,217,196,147,65,0,0,0,0
235,2e,F18,ONRO,45.2627778,16,55,39,112,-0.3326229,1.98,130,20,5,0,54,0,41,10,0,0,0,0,0,0
236,2e,E19,ONNO,45.4319444,19,NA,NA,120,0.07930144,4.74,298,4,0,0,71,58,41,75,44,5,0,0,0,0
237,2e,E5,ONNO,45.4319444,17,57,40,99,-0.6525385,1.49,137,26,15,27,18,18,10,17,6,0,0,0,0,0
239,2e,F6,ONRO,45.2627778,30,63,33,105,0.29584468,0,5,3,0,2,0,0,0,0,0,0,0,0,0,0
240,2f,M9,NYCH,42.2382222,21,65,44,136,0.66521891,70.33,5610,8,44,156,1232,1482,1183,1027,442,36,0,0,0,0
241,2f,J15,NYLV,43.6971944,21,69,48,163,1.45320023,79.11,5902,9,25,168,601,738,974,1073,1651,638,25,0,0,0
242,2f,A15,ONTI,48.4789167,9,NA,NA,96,-1.2159543,3.85,581,2,20,6,13,31,150,89,75,143,47,5,0,0
244,2f,S7,NJPT,40.34025,33,76,43,161,2.10862467,38.62,3511,18,28,81,171,253,971,1449,425,115,0,0,0,0
245,2f,S18,NJPT,40.34025,41,80,39,162,2.61367144,36.29,2377,12,46,256,539,659,834,0,29,2,0,0,0,0
246,2f,G13,ONPG,44.5948889,13,NA,NA,113,-0.4818867,5.2,404,3,19,61,56,0,64,79,67,55,0,0,0,0
247,2f,I17,ONWH,45.49,16,60,44,107,-0.4785453,NA,39,4,34,1,0,0,0,0,0,0,0,0,0,0
249,2f,F7,ONRO,45.2627778,17,49,32,106,-0.448247,3.86,291,3,28,40,55,66,69,30,0,0,0,0,0,0
250,2f,S12,NJPT,40.34025,51,90,39,176,3.6170822,8.87,535,6,0,0,186,0,130,146,67,0,0,0,0,0
251,2f,B3,ONEC,47.6908056,16,NA,NA,93,-0.8871282,0.47,64,14,10,15,17,8,0,0,0,0,0,0,0,0
253,2f,G18,ONPG,44.5948889,11,61,50,116,-0.5132988,26.83,2567,4,21,80,138,429,865,331,486,175,38,0,0,0
256,2f,M6,NYCH,42.2382222,17,61,44,118,-0.0980331,59.47,4902,8,103,204,541,839,851,1282,796,278,0,0,0,0
258,2f,G15,ONPG,44.5948889,11,60,49,116,-0.5132988,41.14,4401,4,80,118,58,918,930,720,630,495,448,0,0,0
259,2f,S15,NJPT,40.34025,51,66,15,189.5,4.01107286,36.49,765,5,29,238,314,145,0,34,0,0,0,0,0,0
260,2f,M11,NYCH,42.2382222,21,65,44,141,0.81114137,92.65,9022,42,144,727,1402,1995,1315,1364,1808,225,0,0,0,0
261,2f,A13,ONTI,48.4789167,13,NA,NA,108,-0.6278092,31.5,4353,7,15,149,372,620,1183,637,1011,340,19,0,0,0
262,3a,T8,MDDB,38.7526111,8,47,39,NA,NA,NA,518,6,0,0,168,0,209,79,56,0,0,0,0,0
263,3a,B3,ONEC,47.6908056,8,48,40,80,-1.7423889,2.52,381,17,0,40,93,89,49,54,39,0,0,0,0,0
264,3a,I2,ONWH,45.49,8,48,40,72,-1.9758649,4.58,576,8,0,58,175,141,103,59,32,0,0,0,0,0
265,3a,F11,ONRO,45.2627778,21,55,34,92,-0.6188988,124.28,1,1,0,0,0,0,0,0,0,0,0,0,0,0
266,3a,L9,NYSC,42.5230556,17,71,54,134,0.36891878,43.55,3986,5,10,33,53,287,625,1169,632,742,325,105,0,0
267,3a,J14,NYLV,43.6971944,16,68,52,130,0.19269802,4.72,9153,13,112,224,851,1954,1593,1699,1918,677,48,64,0,0
268,3a,E14,ONNO,45.4319444,24,51,27,100,-0.2069745,1.74,174,3,37,51,47,23,13,0,0,0,0,0,0,0
269,3a,B2,ONEC,47.6908056,8,43,35,86,-1.567282,8.04,654,14,0,48,166,207,122,97,0,0,0,0,0,0
270,3a,L14,NYSC,42.5230556,35,73,38,130,1.32287094,17.45,1564,2,24,62,75,310,572,500,19,0,0,0,0,0
271,3a,M5,NYCH,42.2382222,22,66,44,145,0.98736213,36.12,3444,10,42,77,336,611,783,916,630,39,0,0,0,0
274,3a,T7,MDDB,38.7526111,32,79,47,138,1.37789853,38.23,1787,11,0,95,80,245,913,0,390,47,6,0,0,0
275,3a,G3,ONPG,44.5948889,13,62,49,100,-0.8612851,25.9,4188,3,0,183,210,365,913,1194,543,378,399,0,0,0
276,3a,A20,ONTI,48.4789167,9,41,32,107,-0.8949248,7.79,941,3,59,0,0,333,208,338,0,0,0,0,0,0
277,3a,P20,NJHP,41.3128333,41,90,49,167,2.75959391,28.82,2712,7,39,249,397,671,725,322,163,99,40,0,0,0
278,3a,H15,ONDM,44.4933889,13,51,38,109,-0.5986247,4.16,1104,2,0,125,141,181,143,144,338,30,0,0,0,0
279,3a,F8,ONRO,45.2627778,29,60,31,113,0.46983784,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0
280,3a,M19,NYCH,42.2382222,11,55,44,114,-0.5716678,88.47,8664,5,75,219,665,1108,1289,2424,1574,1286,19,0,0,0
282,3a,J14,NYLV,43.6971944,16,65,49,82,-1.2081577,36.91,3235,1,24,80,112,560,548,507,648,645,110,0,0,0
283,3a,J15,NYLV,43.6971944,17,66,49,130,0.25218081,112.09,9787,5,71,317,660,1467,2143,1635,1972,1262,255,0,0,0
285,3b,J3,NYLV,43.6971944,21,69,48,158,1.30727776,143.2,8187,3,17,15,130,606,1744,2734,1589,1324,25,0,0,0
287,3b,E9,ONNO,45.4319444,13,NA,NA,100,-0.8612851,1.07,377,9,0,54,42,41,68,58,70,30,5,0,0,0
288,3b,I20,ONWH,45.49,11,55,44,85,-1.4180181,1.75,409,3,4,19,63,68,121,79,32,16,4,0,0,0
289,3b,B20,ONEC,47.6908056,8,48,40,74,-1.9174959,0,111,4,0,0,37,38,17,15,0,0,0,0,0,0
290,3b,G11,ONPG,44.5948889,21,60,39,122,0.256636,9.47,1259,13,64,140,212,377,249,145,59,0,0,0,0,0
291,3b,L8,NYSC,42.5230556,29,68,39,133,1.05352771,14.04,1397,1,10,48,138,371,402,363,64,0,0,0,0,0
293,3b,S3,NJPT,40.34025,34,76,42,155,1.99300049,31,2620,2,23,39,465,600,831,500,110,50,0,0,0,0
294,3b,G8,ONPG,44.5948889,13,67,54,117,-0.3651487,7.38,669,2,32,42,49,0,153,116,153,107,15,0,0,0
295,3b,P2,NJHP,41.3128333,11,69,58,111,-0.6592213,13.58,2045,9,24,6,18,38,130,230,153,524,401,288,224,0
296,3b,F20,ONRO,45.2627778,62,71,9,NA,NA,NA,48,2,46,0,0,0,0,0,0,0,0,0,0,0
297,3b,M17,NYCH,42.2382222,16,60,44,127,0.10514454,28.33,1749,2,23,61,96,0,483,477,465,142,0,0,0,0
298,3b,P5,NJHP,41.3128333,33,72,39,148,1.72922625,24.45,1825,3,10,29,144,334,945,240,120,0,0,0,0,0
299,3b,G1,ONPG,44.5948889,17,51,34,112,-0.2731401,2.18,316,4,22,78,70,64,54,24,0,0,0,0,0,0
300,3b,G2,ONPG,44.5948889,17,49,32,117,-0.1272176,6.44,715,7,55,56,421,112,31,33,0,0,0,0,0,0
303,3b,H1,ONDM,44.4933889,16,55,39,112,-0.3326229,15,883,25,112,171,148,248,67,68,44,0,0,0,0,0
304,3b,B7,ONEC,47.6908056,17,42,25,93,-0.8276454,0,396,24,24,15,173,160,0,0,0,0,0,0,0,0
305,3b,H9,ONDM,44.4933889,17,57,40,107,-0.4190625,4.37,512,2,12,34,68,163,111,72,50,0,0,0,0,0
306,3c,F4,ONRO,45.2627778,20,54,34,135,0.57655163,0.54,135,13,22,22,22,20,30,6,0,0,0,0,0,0
307,3c,P9,NJHP,41.3128333,60,89,29,159,3.65629088,5.53,127,11,0,80,5,14,17,0,0,0,0,0,0,0
309,3c,J12,NYLV,43.6971944,29,63,34,131,0.99515872,11.43,1312,11,28,65,108,144,547,409,0,0,0,0,0,0
311,3c,A11,ONTI,48.4789167,8,63,55,86,-1.567282,2.78,531,6,0,22,31,82,100,103,118,0,54,15,0,0
313,3c,I17,ONWH,45.49,9,53,44,74,-1.8580131,NA,90,4,16,26,15,12,10,6,0,1,0,0,0,0
314,3c,I9,ONWH,45.49,18,48,30,98,-0.6222402,0.12,143,13,0,25,58,30,14,3,0,0,0,0,0,0
315,3c,J7,NYLV,43.6971944,25,64,39,182,2.24563674,29.46,3593,1,17,108,370,777,945,1275,100,0,0,0,0,0
316,3c,P6,NJHP,41.3128333,20,79,59,120,0.13878423,5.6,971,12,35,0,75,56,101,127,159,142,220,38,6,0
317,3c,A14,ONTI,48.4789167,21,61,40,102,-0.3270539,0.3,100,10,14,7,11,8,35,0,15,0,0,0,0,0
